company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Liesch Interiors Ltd.,lieschinteriors.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.154,tier3,Trade Contractor,South Island,BC
MAC Reno Design Build Ltd.,macrenodesignbuild.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.158,tier3,General Contractor,South Island,BC
Maltesen Masonry Ltd.,maltesenmasonry.com,abuse@namesilo.com,"NameSilo, LLC",0.333,tier3,Trade Contractor,Mid Island,BC
McElhanney  Ltd.,mcelhanney.com,abuse@webnames.ca,Webnames.ca Inc.,0.3,tier3,Professional - Industry,North Island,BC
MGM Mechanical Ltd.,mgmmechanical.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.3,tier3,Trade Contractor,South Island,BC
Michell Excavating Limited,michellexcavating.com,abuse@bluehost.com,Bluehost Inc.,0.154,tier3,Civil Contractor,South Island,BC
Miranda Construction Ltd.,miranda-construction.com,billing@registermatrix.com,"Media Elite Holdings Limited, S.A.",0.294,tier3,General Contractor,Mid Island,BC
MKM Projects Ltd.,mkmprojects.com,abuse@123-reg.co.uk,123-Reg Limited,0.211,tier3,General Contractor,Mid Island,BC
MNP LLP,mnp.com,domain.operations@web.com,"Network Solutions, LLC",0.2,tier3,Professional - Industry,North Island,BC
MR Crane Service Ltd.,mrcrane.com,abuse@directnic.com,"DNC Holdings, Inc.",0.182,tier3,Manufacturer & Supplier,South Island,BC
Multivista,multivista.com,icann-abuse-reports@tierra.net,DomainSpot LLC,0.2,tier3,Associate,South Island,BC
Nordic Industries Ltd.,nordic-industries.com,abuse@joker.com,CSL Computer Service Langenbach GmbH d/b/a joker.com,0.138,tier3,Trade Contractor,South Island,BC
Omicron Construction Ltd.,omicron-construction.com,abuse@ovh.net,OVH sas,0.222,tier3,General Contractor,Off Island,BC
Orion Construction,orion-construction.com,abuse@namecheap.com,"NameCheap, Inc.",0.148,tier3,General Contractor,North Island,BC
Paladin Technologies Inc.,paladin-technologies.com,abuse@regtons.com,"Gransy, s.r.o.",0.267,tier3,Trade Contractor,South Island,BC
Phoenix Glass Inc,phoenixglass.com,abuse@enom.com,"eNom, LLC",0.235,tier3,Trade Contractor,Off Island,BC
Project Delivery Services,project-delivery.com,abuse@ascio.com,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",0.208,tier3,Public Owner Agency,South Island,BC
Ram Roofing Ltd.,ram-roofing.com,abuse@dynadot.com,Dynadot Inc,0.222,tier3,Trade Contractor,North Island,BC
RBC Wealth Management,rbcwealthmanagement.com,abuse@gcd.com,"GoDaddy Corporate Domains, LLC",0.217,tier3,Associate,South Island,BC
RC Roofing Ltd.,rcroofing.com,domainadmin@alpinedomains.com,Alpine Domains Inc.,0.167,tier3,Trade Contractor,North Island,BC
Redline Glass Ltd.,redlineglass.com,abuse-contact@publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,0.182,tier3,Trade Contractor,South Island,BC
Ridgeline Mechanical Ltd.,ridgelinemechanical.com,regcompliance@whc.ca,WHC Online Solutions Inc.,0.267,tier3,Trade Contractor,North Island,BC
Scotiabank,scotiabank.com,abusecomplaints@markmonitor.com,MarkMonitor Inc.,0.19,tier3,Associate,South Island,BC
Seafirst Construction Corporation,seafirstconstruction.com,domain-abuse@dreamhost.com,"DreamHost, LLC",0.267,tier3,General Contractor,Off Island,BC
Securco Services Inc.,securco.com,domainabuse@tucows.com,Tucows Domains Inc.,0.286,tier3,Trade Contractor,Mid Island,BC
Strong Construction Group,strong-construction.com,abuse@ionos.com,IONOS SE,0.222,tier3,General Contractor,South Island,BC
SupErb Construction Ltd.,superb-construction.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.439,tier3,General Contractor,Mid Island,BC
The Home Depot PRO,thehomedepotpro.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.256,tier3,Manufacturer & Supplier,Mid Island,BC
Top Line Roofing Ltd.,toplineroofing.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.231,tier3,Trade Contractor,South Island,BC
TQ Insulators Ltd.,tqinsulators.com,abuse@rebel.com,Rebel Ltd,0.111,tier3,Trade Contractor,South Island,BC
