company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Crystal Clear Water Ltd.,crystal-clear-water.com,domain@mfro.net,Mfro Inc.,0.087,tier3,Plumber,Lake Country,BC
Pipe Piper Plumbing,pipepiperplumbing.com,domainabuse@tucows.com,Tucows Domains Inc.,0.242,tier3,Plumber,Winfield,BC
MDL Services,mdl.com,DomainAbuse@service.aliyun.com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",0.059,tier3,Plumber,Lake Country,BC
Knox Mountain Mechanical Ltd.,knoxmountainmechanical.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.118,tier3,Heating and Air Conditioning,Kelowna,BC
RPG Services,rpg.com,domain.operations@web.com,"Network Solutions, LLC",0.2,tier3,Plumber,Kelowna,BC
M.A.C. Plumbing & Heating Inc.,macplumbingheating.com,trustandsafety@support.aws.com,"Amazon Registrar, Inc.",0.278,tier3,Plumbing and Heating,Kelowna,BC
Jean Mechanical LTD,jeanmechanical.com,abuse@enom.com,"eNom, LLC",0.316,tier3,Commercial Plumber,Westbank,BC
Radian Mechanical Inc.,radianmechanical.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.176,tier3,Mechanical Contractors,Kelowna,BC
Captain Plumber,captainplumber.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.195,tier3,Plumber,Westbank,BC
Big Sky Plumbing,big-sky-plumbing.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.211,tier3,Plumber,Kelowna,BC
Action Plumbing & Heating Inc,actionplumbingheating.com,domainabuse@automattic.com,Automattic Inc.,0.182,tier3,Plumber,Oliver,BC
Dave's Plumbing,daves-plumbing.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.25,tier3,Plumber,"Nakusp,",BC
Dicks Septic Service,dicksseptic.com,verisign@virtuadrug.com,Domain Science Kutatasi Szolgaltato Korlatolt Felelossegu Tarsasag,0.179,tier3,Plumber,Summerland,BC
Highmark Plumbing,highmark-plumbing.com,abuse@liquidnetlimited.com,LiquidNet Ltd.,0.308,tier3,Plumber,Kelowna,BC
Powder Highway Plumbing,powderhighwayplumbing.com,abuse@namespro.ca,Namespro Solutions Inc.,0.129,tier3,Plumber,Castlegar,BC
WSP Canada Inc,wspcanada.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.235,tier3,Engineering Consultant,Vancouver,BC
HeyBryan Media Inc,heybryanmedia.com,abuse@namecheap.com,"NameCheap, Inc.",0.261,tier3,Cleaning Services,Vancouver,BC
Champion Plumbing,championplumbing.com,abuse@dynadot.com,Dynadot Inc,0.167,tier3,Plumber,Vancouver,BC
Aquataur Services Ltd.,aquataur.com,regcompliance@whc.ca,WHC Online Solutions Inc.,0.0,tier3,General Contractor,Vancouver,BC
