company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Koski Electric,koskielectric.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.167,tier3,Electrical Contractor,Thunder Bay,ON
Kcs Electric Inc,kcs-electric.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.235,tier3,Electrical Contractor,Lakeside,ON
Infinite Electrical Solutions Inc.,infiniteelectrical.com,domainabuse@tucows.com,Tucows Domains Inc.,0.121,tier3,Electrical Contractor,Hamilton,ON
Dominion Electric,dominionelectric.com,domain.operations@web.com,"Network Solutions, LLC",0.167,tier3,Electrical Contractor,Ottawa,ON
T&A Electric,taelectric.com,abuse@spaceship.com,"Spaceship, Inc.",0.3,tier3,Electrical Contractor,Timmins,ON
Coutts Ltd.,coutts.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.296,tier3,Electrical Contractor,Severn,ON
Goldgen,goldgen.com,domainadmin@alpinedomains.com,Alpine Domains Inc.,0.19,tier3,Electrical Contractor,Mount Hope,ON
Vogue Electric Inc.,vogueelectric.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.35,tier3,Electrical Contractor,St Thomas,ON
G&H Power Electric Inc.,ghpowerelectric.com,abuse@namecheap.com,"NameCheap, Inc.",0.154,tier3,Electrical Contractor,Milton,ON
Lgv Contracting Limited,lgv.com,abuse@inwx.com,INWX GmbH,0.167,tier3,Electrical Contractor,Aurora,ON
Kelarus Ltd.,kelarus.com,abuse-contact@publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,0.105,tier3,Electrical Contractor,Milton,ON
Go Electrical Inc,go-electrical.com,abuse@123-reg.co.uk,123-Reg Limited,0.1,tier3,Electrical Contractor,Stouffville,ON
Power Zone Electrical Services Inc,powerzoneelectrical.com,abuse@ionos.com,IONOS SE,0.207,tier3,Electrical Contractor,Markham,ON
Spectre Electric,spectre-electric.com,abuse@joker.com,CSL Computer Service Langenbach GmbH d/b/a joker.com,0.211,tier3,Electrical Contractor,Wilno,ON
Ground Up Electric,groundupelectric.com,ZYS@GNAME.COM,Gname 095 Inc,0.222,tier3,Electrical Contractor,Orleans,ON
Precision Powerline Ltd,precisionpowerline.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.333,tier3,Electrical Contractor,Owen Sound,ON
Illumi Electric Inc,illumielectric.com,DomainAbuse@service.aliyun.com,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),0.271,tier3,Electrical Contractor,Brampton,ON
Leeside Electrical Services Inc,leesideelectrical.com,domain-abuse@wix.com,Wix.com Ltd.,0.167,tier3,Electrical Contractor,Oxford Mills,ON
Enk Electrical Inc,enkelectrical.com,abuse@bluehost.com,Launchpad.com Inc.,0.231,tier3,Electrical Contractor,Woodbridge,ON
GPI Contracting Inc,gpi.com,abusecomplaints@markmonitor.com,MarkMonitor Inc.,0.143,tier3,Electrical Contractor,Red Rock,ON
Northern Light Electrical,northernlightelectrical.com,abuse@domainbox.com,Mesh Digital Limited,0.378,tier3,Electrical Contractor,Woodville,ON
C.G.A Contracting,cga.com,abuse@dynadot.com,Dynadot Inc,0.2,tier3,Electrical Contractor,Bradford,ON
Allison Electric,allisonelectric.com,abuse@enom.com,"eNom, LLC",0.1,tier3,Electrical Contractor,Roblin,ON
Elec Tricks Inc.,elec-tricks.com,abuse@ovh.net,OVH sas,0.222,tier3,Electrical Contractor,Pickering,ON
Mr Power Tech Inc,mrpowertech.com,abuse@key-systems.net,Key-Systems GmbH,0.276,tier3,Electrical Contractor,Scarborough,ON
Freedom Technical Services Ltd.,freedomtechnical.com,abuse@register.it,Register SPA,0.345,tier3,Electrical Contractor,Grimsby,ON
Bde Ltd.,bde.com,abuse@uniregistry.com,GoDaddy Online Services Cayman Islands Ltd.,0.125,tier3,Electrical Contractor,Cornwall,ON
