company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Glectric Inc.,glectric.com,abuse@ename.com,"eName Technology Co., Ltd.",0.167,tier3,Electrical Contractor,Bradford,ON
Lloyd'S Electric Company Limited,lloydselectric.com,domain.operations@web.com,"Network Solutions, LLC",0.182,tier3,Electrical Contractor,Woodstock,ON
Superior Power Electric Ltd.,superiorpowerelectric.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.121,tier3,Electrical Contractor,Brampton,ON
Valor Electric Inc,valor-electric.com,abuse@namecheap.com,"NameCheap, Inc.",0.261,tier3,Electrical Contractor,Hamilton,ON
Bnc Electric Inc,bncelectric.com,abuse@ionos.com,IONOS SE,0.3,tier3,Electrical Contractor,Mississauga,ON
Ko-Electric Inc,ko-electric.com,abuse@enom.com,"eNom, LLC",0.133,tier3,Electrical Contractor,Mississauga,ON
Phase Five Electric,phasefiveelectric.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.341,tier3,Electrical Contractor,Beachville,ON
Aux Group Inc.,aux.com,abuse@name.com,"Name.com, Inc.",0.2,tier3,Electrical Contractor,Richmond Hill,ON
Crescent Ridge Services,crescent-ridge.com,abuse@ait.com,"Advanced Internet Technologies, Inc. (AIT)",0.208,tier3,Electrical Contractor,New Hamburg,ON
Daves Electric,daveselectric.com,abuse@moniker.com,Moniker Online Services LLC,0.214,tier3,Electrical Contractor,Baden,ON
Finesse Electric Inc,finesse-electric.com,abuse@porkbun.com,Porkbun LLC,0.087,tier3,Electrical Contractor,York,ON
A.F. Electric,afelectric.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.27,tier3,Electrical Contractor,Welland,ON
Mv Electric Inc.,mvelectric.com,abuse@spaceship.com,"Spaceship, Inc.",0.2,tier3,Electrical Contractor,Schomberg,ON
Grounded Grid Corp,grounded-grid.com,domainabuse@tucows.com,Tucows Domains Inc.,0.148,tier3,Electrical Contractor,Meaford,ON
Poweredge,poweredge.com,abuse@safenames.net,SafeNames Ltd.,0.222,tier3,Electrical Contractor,Etobicoke,ON
Maestro Solutions Technologies Inc,maestro-technologies.com,abuse-contact@publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,0.275,tier3,Electrical Contractor,Mississauga,ON
M&J Electric Inc,mjelectric.com,abuse@gcd.com,"GoDaddy Corporate Domains, LLC",0.111,tier3,Electrical Contractor,Cambridge,ON
Sunshine Electrical Services Inc,sunshineelectrical.com,abuse@unstoppabledomains.com,Unstoppable Domains Inc.,0.263,tier3,Electrical Contractor,Paris,ON
Mlc Electric Inc,mlcelectric.com,DomainAbuse@service.aliyun.com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",0.186,tier3,Electrical Contractor,Innisfil,ON
Mjh Electrical Inc,mjhelectrical.com,domain-abuse@wix.com,Wix.com Ltd.,0.1,tier3,Electrical Contractor,Sault Ste Marie,ON
Lake Home Electric,lakehomeelectric.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.343,tier3,Electrical Contractor,Seguin,ON
Ecc Corporation,ecc.com,abuse@dynadot.com,Dynadot Inc,0.0,tier3,Electrical Contractor,Hamilton,ON
Co-Al Electric Inc.,al-electric.com,abuse@united-domains.de,united-domains GmbH,0.194,tier3,Electrical Contractor,Etobicoke,ON
Clear Pathway Solutions Inc,clearpathway.com,abuse@bluehost.com,Bluehost Inc.,0.286,tier3,Electrical Contractor,Hamilton,ON
Steady Electrical Contracting Inc,steadyelectrical.com,abuse@fluccs.com.au,The Namespace Group Pty Ltd,0.176,tier3,Electrical Contractor,Keswick,ON
AMM Electric Inc,ammelectric.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.111,tier3,Electrical Contractor,Mississauga,ON
Wps Electric Ltd.,wpselectric.com,abuse@hkdns.hk,West263 International Limited,0.303,tier3,Electrical Contractor,London,ON
Country Electric,countryelectric.com,abuse@uniregistry.com,GoDaddy Online Services Cayman Islands Ltd.,0.222,tier3,Electrical Contractor,St George,ON
Neal Electric Ltd,nealelectric.com,icann-abuse-reports@tierra.net,DomainSpot LLC,0.174,tier3,Electrical Contractor,Bracebridge,ON
