company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Moose Electric,mooseelectric.com,abuse@dynadot.com,Dynadot Inc,0.19,tier3,Electrician,Surrey,BC
JA Electric Inc,jaelectric.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.19,tier3,Electrician,Richmond,BC
Gill Electric Co Ltd,gillelectric.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.4,tier3,Electrician,White Rock,BC
Flash Electric Ltd,flash-electric.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.222,tier3,Electrician,Surrey,BC
Hilltop Electric,hilltop-electric.com,domain.operations@web.com,"Network Solutions, LLC",0.261,tier3,Electrical Contractors,White Rock,BC
Databoys Enterprises Inc,databoys.com,abuse@enom.com,"eNom, LLC",0.167,tier3,Electrical Contractors,Richmond,BC
FG Electric,fgelectric.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.27,tier3,Electrician,Surrey,BC
Vancity Electric,vancityelectric.com,abuse-contact@publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,0.255,tier3,Commercial Electrician,Surrey,BC
MTV Enterprise Ltd,mtv.com,abusecomplaints@markmonitor.com,MarkMonitor Inc.,0.286,tier3,Electrician,Richmond,BC
Remain Current Electric,remaincurrentelectric.com,abuse@namecheap.com,"NameCheap, Inc.",0.188,tier3,Electrician,Surrey,BC
Westrade Electric,westradeelectric.com,abuse@register.ca,Register.ca Inc.,0.37,tier3,Electrician,North Vancouver,BC
West Harbour Electric,westharbourelectric.com,abuse@uniregistry.com,GoDaddy Online Services Cayman Islands Ltd.,0.12,tier3,Commercial Electrician,Surrey,BC
Wave Electrical Ltd,wave-electrical.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.16,tier3,Electrician,Surrey,BC
WE Do Electrical,wedoelectrical.com,abuse@melbourneit.com.au,Netregistry Wholesale Pty Ltd,0.195,tier3,Electrician,Surrey,BC
W K Electric Ltd,wkelectric.com,abuse@ionos.com,IONOS SE,0.2,tier3,Electrician,Vancouver,BC
Voltz Electric Ltd.,voltz-electric.com,abuse@bluehost.com,Bluehost Inc.,0.182,tier3,Electrician,Surrey,BC
Voltech Systems Ltd,voltechsystems.com,abuse@ownregistrar.com,"OwnRegistrar, Inc.",0.296,tier3,Electrician,North Vancouver,BC
Vanrook Electric Ltd,vanrookelectric.com,domainabuse@tucows.com,Tucows Domains Inc.,0.133,tier3,Electrician,Langley,BC
Vanguard Power Ltd.,vanguardpower.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.229,tier3,Industrial Electrician,Chilliwack,BC
Torro Electric Ltd,torroelectric.com,domain-abuse@wix.com,Wix.com Ltd.,0.1,tier3,Electrician,North Vancouver,BC
The Plan Group,theplan.com,abuse@epik.com,Epik LLC,0.333,tier3,Electrician,Langley,BC
Tara Electric Ltd,taraelectric.com,abuse@key-systems.net,Key-Systems GmbH,0.138,tier3,Electrician,Surrey,BC
TY Electric Inc.,ty-electric.com,complaint@gname.com,Gname.com Pte. Ltd.,0.261,tier3,Commercial Electrician,North Vancouver,BC
TW Electric Ltd,tw-electric.com,abuse@diymysite.com,Cloud Yuqu LLC,0.095,tier3,Electrician,North Vancouver,BC
TKG Electric Ltd.,tkgelectric.com,DomainAbuse@service.aliyun.com,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),0.179,tier3,Electrician,Surrey,BC
TDM Electric Ltd.,tdm-electric.com,tld-abuse@nic.ru,"Regional Network Information Center, JSC dba RU-CENTER",0.262,tier3,Electrical Contractors,Port Coquitlam,BC
Synergy Electrical Installations,synergyelectricalinstallations.com,abuse@123-reg.co.uk,123-Reg Limited,0.103,tier3,Electrician,North Vancouver,BC
Superb Electric,superb-electric.com,fwicann@gname.com,Gname 038 Inc,0.167,tier3,Electrician,North Vancouver,BC
Sunrise Electrical,sunriseelectrical.com,abuse@bigrock.com,BigRock Solutions Ltd,0.16,tier3,Electrician,Vernon,BC
Sterling Electric,sterlingelectric.com,trustandsafety@support.aws.com,"Amazon Registrar, Inc.",0.242,tier3,Electrician,Surrey,BC
Step Electric Ltd,stepelectric.com,contact@bizcn.com,"Bizcn.com, Inc.",0.19,tier3,Electrician,Port Coquitlam,BC
Steelhead Electric Ltd,steelheadelectric.com,abuse@namespro.ca,Namespro Solutions Inc.,0.154,tier3,Electrician,Chilliwack,BC
Status Electrical Corp,statuselectrical.com,abuse@domainpeople.com,"DomainPeople, Inc.",0.276,tier3,Electrician,Abbotsford,BC
Standard Electric Ltd,standardelectric.com,abuse@support.gandi.net,Gandi SAS,0.308,tier3,Electrician,Maple Ridge,BC
Stable Electrical Inc,stableelectrical.com,abuse@promopeople.com,"Promo People, Inc.",0.138,tier3,Electrical Contractors,Delta,BC
