company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Sims Electric,simselectric.com,domain.operations@web.com,"Register.com - Network Solutions, LLC",0.353,tier3,Electrical Contractor,Bowmanville,ON
Robot Electrical Services,robotelectrical.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.286,tier3,Electrical Contractor,Toronto,ON
Capson Electric,capsonelectric.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.16,tier3,Electrical Contractor,Huntsville,ON
Bremner Electric,bremnerelectric.com,abuse@namesilo.com,"NameSilo, LLC",0.167,tier3,Electrical Contractor,Loring,ON
East End Electric,eastendelectric.com,tld-abuse@hostopia.com,Hostopia Canada Corp,0.312,tier3,Electrical Contractor,Toronto,ON
Stellar Electrical Ltd,stellar-electrical.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.25,tier3,Electrical Contractor,Windsor,ON
Kestrel Electric Company,kestrelelectric.com,domainabuse@tucows.com,Tucows Domains Inc.,0.2,tier3,Electrical Contractor,St Thomas,ON
Atlas Ontario Electric Ltd.,atlasontarioelectric.com,domain-abuse@wix.com,Wix.com Ltd.,0.071,tier3,Electrical Contractor,Vaughan,ON
Golden Triangle Electric Ltd,goldentriangleelectric.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.417,tier3,Electrical Contractor,Kitchener,ON
Mavric Electric Incorporated,mavricelectric.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.188,tier3,Electrical Contractor,Ancaster,ON
Empower Electrical Ltd,empowerelectrical.com,abuse@namecheap.com,"NameCheap, Inc.",0.296,tier3,Electrical Contractor,Kitchener,ON
Epass Consulting Ltd,epass.com,abusecomplaints@markmonitor.com,MarkMonitor Inc.,0.125,tier3,Electrical Contractor,North York,ON
Prime Automation Inc,prime-automation.com,abuse@regery.com,DEVEXPANSE LTD d/b/a Regery.com,0.3,tier3,Electrical Contractor,Waterloo,ON
Complete Electrical Solutions,complete-electrical.com,abuse@enom.com,"eNom, LLC",0.174,tier3,Electrical Contractor,London,ON
I.A.M Electrical Services Inc,iamelectrical.com,abuse@netistrar.com,Netistrar Limited,0.348,tier3,Electrical Contractor,Ajax,ON
Old School Electric Services,oldschoolelectric.com,abuse@123-reg.co.uk,123-Reg Limited,0.077,tier3,Electrical Contractor,Oxford Mills,ON
Clearwater Electric,clearwater-electric.com,domainabuse@automattic.com,Automattic Inc.,0.414,tier3,Electrical Contractor,Port Sydney,ON
Dunbar Electric Inc,dunbarelectric.com,domain-abuse@dreamhost.com,"DreamHost, LLC",0.25,tier3,Electrical Contractor,Kitchener,ON
Coopson Group Inc,coopson.com,abuse@ionos.com,IONOS SE,0.267,tier3,Electrical Contractor,Portland,ON
Levy Electrical Services Inc,levyelectrical.com,abuse@dynadot.com,Dynadot Inc,0.182,tier3,Electrical Contractor,Embro,ON
Westcon Service,westcon.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.286,tier3,Electrical Contractor,Grimsby,ON
Dot Electrical Services,dotelectrical.com,abuse@unstoppabledomains.com,Unstoppable Domains Inc.,0.182,tier3,Electrical Contractor,Newcastle,ON
Ro Electric,roelectric.com,abuse@joker.com,CSL Computer Service Langenbach GmbH d/b/a joker.com,0.154,tier3,Electrical Contractor,Mississauga,ON
Alectra Utilities Corp,alectrautilities.com,abuse@authenticweb.com,Authentic Web Inc.,0.4,tier3,Electrical Contractor,Guelph,ON
