company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Working Hands Construction,workinghandsconstruction.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.278,tier3,Construction,Kelowna,BC
Wolverine Industries,wolverineindustries.com,domainabuse@tucows.com,Tucows Domains Inc.,0.294,tier3,Home Improvement,Kelowna,BC
Wiring Solutions Electrical Services,wiringelectrical.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.186,tier3,Electrician,Chase,BC
Wirepro Electric Inc,wirepro-electric.com,abuse@ionos.com,IONOS SE,0.167,tier3,Electrician,Surrey,BC
Wintergreen Electric,wintergreenelectric.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.19,tier3,Electrical Contractors,Abbotsford,BC
Wilshire Construction,wilshireconstruction.com,domain.operations@web.com,"Network Solutions, LLC",0.143,tier3,General Contractor,Abbotsford,BC
Willow Spring Construction,willowspringconstruction.com,trustandsafety@support.aws.com,"Amazon Registrar, Inc.",0.238,tier3,General Contractor,Surrey,BC
Willow Development Inc,willow-development.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.286,tier3,Home Renovation,West Kelowna,BC
Wilkins Construction Ltd,wilkins-construction.com,abuse@bluehost.com,Launchpad.com Inc.,0.25,tier3,General Contractor,Vernon,BC
Wiley Roofing,wileyroofing.com,abuse@dynadot.com,Dynadot9266 LLC,0.167,tier3,Roofing Contractors,Langley,BC
Wightman Mechanical,wightmanmechanical.com,abuse@easydns.com,easyDNS Technologies Inc.,0.308,tier3,Water Heater Dealers,Kelowna,BC
Whitetail Concrete Inc,whitetailconcrete.com,abuse@namecheap.com,"NameCheap, Inc.",0.222,tier3,Concrete Contractors,Kelowna,BC
White Rock Renovations,whiterockrenovations.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.478,tier3,General Contractor,Surrey,BC
Westport Mechanical Ltd,westportmechanical.com,abuse@rebel.com,Rebel.ca Corp.,0.308,tier3,Commercial Air Conditioning Contractors,Coquitlam,BC
Western Star Contracting Ltd,westernstar.com,abuse@key-systems.net,Key-Systems GmbH,0.357,tier3,General Contractor,Aldergrove,BC
Western Insulation Ltd.,westerninsulation.com,abuse@enom.com,"eNom, LLC",0.273,tier3,Insulation Contractors,Surrey,BC
Torbram Electric,torbramelectric.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.324,tier3,Electrician,Kelowna,BC
Jade Electric Ltd,jade-electric.com,abuse@domainoriental.com,DOMAIN ORIENTAL LIMITED,0.286,tier3,Electrician,Kelowna,BC
Vitatek Solutions,vitatek.com,abuse@cloudns.net,Cloud DNS Ltd,0.0,tier3,Cleaning Services,Kelowna,BC
JK Commercial Cleaning Services,jkcommercialcleaning.com,abuse@unstoppabledomains.com,Unstoppable Domains Inc.,0.293,tier3,Cleaning Services,Kelowna,BC
Technical Safety BC,technicalsafetybc.com,abuse@dotalliance.com,DotAlliance Inc.,0.333,tier3,Electrical Contractors,Kelowna,BC
TI Roof Rescue Inc.,tiroofrescue.com,abuse@register.ca,Register.ca Inc.,0.333,tier3,Roofing Contractors,Kelowna,BC
Falcon Engineering Ltd,falcon-engineering.com,abuse@ordertld.com,CNOBIN INFORMATION TECHNOLOGY LIMITED,0.34,tier3,General Engineering Contractor,Kelowna,BC
Regent Construction,regent-construction.com,abuse@one.com,One.com A/S,0.286,tier3,General Contractor,Kelowna,BC
Accent Renovations,accentrenovations.com,regcompliance@whc.ca,WHC Online Solutions Inc.,0.286,tier3,Home Improvement,Kelowna,BC
Prehofer Enterprise Ltd,prehofer.com,abuse@ascio.com,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",0.145,tier3,Plumber,Kelowna,BC
