company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Khanstruction Ltd,khanstruction.com,abuse@123-reg.co.uk,123-Reg Limited,0.1,tier3,Electrical Contractor,Markham,ON
Omega Electric Services Inc,omega-electric.com,abuse@metaregistrar.com,Metaregistrar BV,0.333,tier3,Electrical Contractor,Arkell,ON
Mattson Group Ltd.,mattson.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.118,tier3,Electrical Contractor,Kingston,ON
Wheeler Electric Inc,wheeler-electric.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.211,tier3,Electrical Contractor,Guelph,ON
Elteck Electric,elteck-electric.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.154,tier3,Electrical Contractor,Toronto,ON
Jp Electricals Inc.,jpelectricals.com,domainabuse@tucows.com,Tucows Domains Inc.,0.214,tier3,Electrical Contractor,Brampton,ON
S.B.S. Electric Ltd,sbselectric.com,domain.operations@web.com,"Network Solutions, LLC",0.316,tier3,Electrical Contractor,Mississauga,ON
Jw Electric,jw-electric.com,abuse@namecheap.com,"NameCheap, Inc.",0.2,tier3,Electrical Contractor,Nestor Falls,ON
Coastal Electrical,coastal-electrical.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.286,tier3,Electrical Contractor,Scarborough,ON
Kraner Electrical Ltd,kranerelectrical.com,regcompliance@whc.ca,WHC Online Solutions Inc.,0.148,tier3,Electrical Contractor,Guelph,ON
Adam'S Electric Inc.,adamselectric.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.3,tier3,Electrical Contractor,St Catharines,ON
Vm Electric,vm-electric.com,abuse@west.cn,"Chengdu West Dimension Digital Technology Co., Ltd.",0.192,tier3,Electrical Contractor,Strathroy,ON
Kinetic Electric Services,kineticelectric.com,abuse@enom.com,"eNom, LLC",0.1,tier3,Electrical Contractor,Barrie,ON
Trade Mark Industrial Inc,trademarkindustrial.com,abuse@bluehost.com,Bluehost Inc.,0.207,tier3,Electrical Contractor,Cambridge,ON
422 Electric,422electric.com,domain-abuse@wix.com,Wix.com Ltd.,0.111,tier3,Electrical Contractor,Puslinch,ON
Ryan Hogan,ryanhogan.com,abuse-contact@publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,0.146,tier3,Electrical Contractor,Perth,ON
Large Innovations Inc.,largeinnovations.com,abuse@1api.net,1API GmbH,0.154,tier3,Electrical Contractor,Burlington,ON
Northwest Supply,northwestsupply.com,abuse@uniregistry.com,GoDaddy Online Services Cayman Islands Ltd.,0.178,tier3,Electrical Contractor,Sioux Lookout,ON
Springvalley Electric,springvalleyelectric.com,abuse@namesilo.com,"NameSilo, LLC",0.207,tier3,Electrical Contractor,Oro Medonte,ON
Electro Omega,electroomega.com,abuse@gkg.net,"GKG.Net, Inc.",0.211,tier3,Electrical Contractor,Kitchener,ON
Jpi Electrical Limited,jpielectrical.com,abuse@easydns.com,easyDNS Technologies Inc.,0.235,tier3,Electrical Contractor,Stoney Creek,ON
Quattro Electric Ltd.,quattroelectric.com,abuse@webnames.ca,Webnames.ca Inc.,0.231,tier3,Electrical Contractor,Milton,ON
El-Com Electric,el-comelectric.com,abuse@registrar.eu,Hosting Concepts B.V. d/b/a Registrar.eu,0.24,tier3,Electrical Contractor,Mississauga,ON
B-Power Ltd,b-power.com,abuse@hosting.kr,"Megazone Corp., dba HOSTING.KR",0.24,tier3,Electrical Contractor,Ottawa,ON
Top Choice Electrical (Contracting Inc.),topchoiceelectrical.com,domain-abuse@dreamhost.com,"DreamHost, LLC",0.2,tier3,Electrical Contractor,Sharon,ON
Thomas Electrical Service,thomaselectrical.com,abuse@dynadot.com,Dynadot Inc,0.083,tier3,Electrical Contractor,Caistor Centre,ON
Dale Reid,dalereid.com,abuse@porkbun.com,Porkbun LLC,0.125,tier3,Electrical Contractor,Campbellford,ON
BH Electric Solutions Inc.,bhelectric.com,contact@bizcn.com,"Bizcn.com, Inc.",0.316,tier3,Electrical Contractor,Mississauga,ON
J.D Electric,jd-electric.com,ZYS@GNAME.COM,Gname 147 Inc,0.1,tier3,Electrical Contractor,Trenton,ON
Tc Electrical Contracting,tc-electrical.com,abuse@register.it,Register SPA,0.24,tier3,Electrical Contractor,Bethany,ON
Amped Electric,ampedelectric.com,abuse@name.com,"Name.com, Inc.",0.381,tier3,Electrical Contractor,London,ON
Defina Consulting Inc,defina.com,abuse@ionos.com,IONOS SE,0.143,tier3,Electrical Contractor,Cookstown,ON
