company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Avista Development,avistadevelopment.com,trustandsafety@support.aws.com,"Amazon Registrar, Inc.",0.294,tier3,Building Contractors,Summerland,BC
Bella Outdoor Living Inc.,bellaoutdoorliving.com,abuse-contact@publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,0.353,tier3,Pergolas,Westbank,BC
Bellco Drywall Ltd,bellcodrywall.com,domainabuse@tucows.com,Tucows Domains Inc.,0.357,tier3,Drywall Contractors,Salmon Arm,BC
Belvedere Place Contracting Ltd.,belvedereplace.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.24,tier3,Construction,Kelowna,BC
Bertrim Contracting,bertrim.com,abuse@ionos.com,IONOS SE,0.133,tier3,Building Contractors,West Kelowna,BC
Block Construction & Design,blockconstructiondesign.com,abuse-complaints@squarespace.com,Squarespace Domains LLC,0.136,tier3,Home Builders,Armstrong,BC
Broadview Group,broadview.com,abusecomplaints@markmonitor.com,MarkMonitor Inc.,0.3,tier3,Landscape Contractors,Osoyoos,BC
CRL Group Holdings Inc.,crl.com,domain.operations@web.com,"Network Solutions, LLC",0.2,tier3,Excavating Contractors,Summerland,BC
Caliber Developments Ltd.,caliberdevelopments.com,abuse@namespro.ca,Namespro Solutions Inc.,0.286,tier3,Building Contractors,Lake Country,BC
Chamberlain Builders Ltd.,chamberlainbuilders.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.261,tier3,Home Builders,Summerland,BC
Chase Valley,chasevalley.com,tld-abuse@hostopia.com,Hostopia Canada Corp,0.222,tier3,General Contractor,Penticton,BC
Custom Choice Builders,customchoicebuilders.com,abuse@unstoppabledomains.com,Unstoppable Domains Inc.,0.39,tier3,Home Builders,Kelowna,BC
Cutting Edge Carpentry Inc,cuttingedgecarpentry.com,abuse@name.com,"Name.com, Inc.",0.069,tier3,Carpenter,Invermere,BC
Dachhaus Contracting,dachhaus.com,ymn@juming.com,"Hefei Juming Network Technology Co., Ltd",0.103,tier3,Roofing Contractors,Grand Forks,BC
Engli Construction Ltd,engliconstruction.com,abuse@promopeople.com,"Promo People, Inc.",0.133,tier3,Home Builders,Kamloops,BC
Evans Construction Inc,evans-construction.com,abuse@bluehost.com,Bluehost Inc.,0.308,tier3,General Contractor,Vernon,BC
Fairweather Property Solutions Ltd.,fairweatherproperty.com,abuse@registrar.eu,Hosting Concepts B.V. d/b/a Registrar.eu,0.145,tier3,Commercial Cleaning Services,Kelowna,BC
Grandt Contracting Ltd,grandt.com,abuse@moniker.com,Moniker Online Services LLC,0.2,tier3,Building Contractors,Kelowna,BC
Haowen Homes Ltd,haowenhomes.com,domain-abuse@wix.com,Wix.com Ltd.,0.333,tier3,Home Builders,Kelowna,BC
Hometown Enterprises,hometown.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.222,tier3,Building Contractors,Vernon,BC
Hydraclean Restoration Services Ltd.,hydracleanrestoration.com,abuse@1api.net,1API GmbH,0.065,tier3,Disaster Cleanup,Kelowna,BC
Inspiration Homes.,inspirationhomes.com,abuse@dynadot.com,Dynadot Inc,0.25,tier3,Building Contractors,Vernon,BC
Integrity Roofing,integrity-roofing.com,abuse-contact@sav.com,"Sav.com, LLC",0.087,tier3,Roofing Contractors,Salmon Arm,BC
JCB Contracting Ltd,jcb.com,abuse@safenames.net,SafeNames Ltd.,0.0,tier3,General Contractor,Vernon,BC
Jolan Contracting,jolan.com,abuse@ovh.net,OVH sas,0.333,tier3,General Contractor,Kelowna,BC
KW Concrete,kw-concrete.com,abuse@support.gandi.net,Gandi SAS,0.1,tier3,Concrete Contractors,Kelowna,BC
Kynoch Builders Inc,kynochbuilders.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.312,tier3,Building Contractors,Kelowna,BC
Laser Glass Railing Inc.,laserglassrailing.com,abuse@enom.com,"eNom, LLC",0.174,tier3,Railing,Kelowna,BC
We Build That,webuildthat.com,abuse@uniregistry.com,GoDaddy Online Services Cayman Islands Ltd.,0.238,tier3,Home Improvement,Osoyoos,BC
Viking Concrete,viking-concrete.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.308,tier3,Concrete,Kelowna,BC
Smoky Valley Contracting Ltd.,smoky-valley.com,abuse@namecheap.com,"NameCheap, Inc.",0.19,tier3,Excavating Contractors,Lake Country,BC
Semko Contracting Ltd,semko.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.231,tier3,Home Builders,Vernon,BC
Royce Robert Homes,royceroberthomes.com,abuse@namesilo.com,"NameSilo, LLC",0.231,tier3,Building Contractors,Kelowna,BC
Parsons Family Homes,parsonsfamilyhomes.com,abuse@rebel.com,Rebel Ltd,0.16,tier3,General Contractor,Coldstream,BC
