company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
The Power Fix,thepowerfix.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.087,tier3,Electrical Contractor,Oakville,ON
Ecovolt Electric Inc,ecovoltelectric.com,abuse-complaints@squarespace.com,Squarespace Domains LLC,0.229,tier3,Electrical Contractor,Toronto,ON
Nest Light Corporation,nestlight.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.389,tier3,Electrical Contractor,Richmond Hill,ON
Switch Electrical Solutions,switch-electrical.com,verisign@virtuadrug.com,Domain Science Kutatasi Szolgaltato Korlatolt Felelossegu Tarsasag,0.241,tier3,Electrical Contractor,Hunstville,ON
MKP Electric Inc,mkpelectric.com,abuse@ionos.com,IONOS SE,0.2,tier3,Electrical Contractor,Angus,ON
Dcpro Inc,dcpro.com,abuse@namecheap.com,"NameCheap, Inc.",0.286,tier3,Electrical Contractor,Phelpston,ON
West Lighting And Electrical Ltd,westlightingandelectrical.com,abuse@registrar.eu,Hosting Concepts B.V. d/b/a Registrar.eu,0.381,tier3,Electrical Contractor,North York,ON
Jrn Electric,jrn-electric.com,domainabuse@tucows.com,Tucows Domains Inc.,0.077,tier3,Electrical Contractor,Niagara On The Lake,ON
North Star Electric Ltd,north-star-electric.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.276,tier3,Electrical Contractor,Milton,ON
On Point Electric Inc,onpointelectric.com,abuse@webnames.ca,Webnames.ca Inc.,0.222,tier3,Electrical Contractor,Port Sydney,ON
Elitro Tech Inc.,elitrotech.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.143,tier3,Electrical Contractor,Holland Landing,ON
South West Electric,southwestelectric.com,domain.operations@web.com,"Network Solutions, LLC",0.154,tier3,Electrical Contractor,Kincardine,ON
Duke Electric Contracting Inc.,dukeelectric.com,abuse@enom.com,"eNom, LLC",0.118,tier3,Electrical Contractor,Pointe Aux Roches,ON
Grid Point,gridpoint.com,trustandsafety@support.aws.com,"Amazon Registrar, Inc.",0.154,tier3,Electrical Contractor,Mississauga,ON
G.S Electric,gselectric.com,abuse@key-systems.net,Key-Systems GmbH,0.148,tier3,Electrical Contractor,Bath,ON
Safevolt Electrical Ltd,safevolt-electrical.com,domain-abuse@wix.com,Wix.com Ltd.,0.08,tier3,Electrical Contractor,Mississauga,ON
FD Services,fd.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.087,tier3,Electrical Contractor,North York,ON
V & Z Contracting Inc,vz.com,abuse@fabulous.com,"Sea Wasp, LLC",0.182,tier3,Electrical Contractor,Mississauga,ON
Calvert Electrical Solutions Inc,calvertelectrical.com,abuse@support.gandi.net,Gandi SAS,0.222,tier3,Electrical Contractor,Mississauga,ON
Lighthouse Electrical Contracting (Ltd),lighthouseelectrical.com,abuse@melbourneit.com.au,Netregistry Wholesale Pty Ltd,0.348,tier3,Electrical Contractor,Oshawa,ON
Viper Technologies,vipertechnologies.com,abuse@name.com,"Name.com, Inc.",0.24,tier3,Electrical Contractor,Peterborough,ON
Aladdin Electric Ltd,aladdin-electric.com,abuse@bluehost.com,Launchpad.com Inc.,0.286,tier3,Electrical Contractor,Port Sydney,ON
Gk Electrical,gk-electrical.com,abuse@123-reg.co.uk,123-Reg Limited,0.1,tier3,Electrical Contractor,Little Current,ON
Juice Electric,juice-electric.com,abuse@bigrock.com,BigRock Solutions Ltd,0.19,tier3,Electrical Contractor,Cornwall,ON
Ser Electric Inc.,serelectric.com,abuse-contact@publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,0.279,tier3,Electrical Contractor,Kenora,ON
Elexo Corp,elexo.com,abuse@dreamscapenetworks.com,Dreamscape Networks International Pte Ltd,0.143,tier3,Electrical Contractor,Thornhill,ON
Sherwonto Inc.,sherwonto.com,abuse@spaceship.com,"Spaceship, Inc.",0.222,tier3,Electrical Contractor,Newmarket,ON
Spark Forward Electric Ltd,sparkforwardelectric.com,a-b-u-s-e.whois.field@netearthone.com,NetEarth One Inc. d/b/a NetEarth,0.298,tier3,Electrical Contractor,Etobicoke,ON
Electric Garden,electric-garden.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.308,tier3,Electrical Contractor,Coldwater,ON
Astra Energy Ltd.,astraenergy.com,abuse@dynadot.com,Dynadot Inc,0.211,tier3,Electrical Contractor,Kanata,ON
