company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Pelican Electric,pelicanelectric.com,abuse@enom.com,"eNom, LLC",0.2,tier3,Electrical Contractor,Stoney Creek,ON
Regional Trenching,regionaltrenching.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.286,tier3,Electrical Contractor,Thorold,ON
Ferguson Electrical Solutions Inc,ferguson-electrical.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.293,tier3,Electrical Contractor,Cambridge,ON
Evolve Electrical Services Inc,evolve-electrical.com,abuse@domainbox.com,Mesh Digital Limited,0.345,tier3,Electrical Contractor,Concord,ON
Parkview Electric,parkviewelectric.com,domain.operations@web.com,"Network Solutions, LLC",0.167,tier3,Electrical Contractor,Ancaster,ON
Best Electric Inc,best-electric.com,domainadmin@alpinedomains.com,Alpine Domains Inc.,0.148,tier3,Electrical Contractor,Toronto,ON
Verhoef Electric Limited,verhoefelectric.com,abuse@rebel.com,Rebel Ltd,0.286,tier3,Electrical Contractor,Jordan Station,ON
Nickel City Electric Inc,nickelcityelectric.com,domainabuse@tucows.com,Tucows Domains Inc.,0.059,tier3,Electrical Contractor,Whitefish,ON
J Electric,jelectric.com,abuse@uniregistry.com,GoDaddy Online Services Cayman Islands Ltd.,0.154,tier3,Electrical Contractor,Mississauga,ON
Jnl Electric,jnl-electric.com,domainabuse@automattic.com,Automattic Inc.,0.273,tier3,Electrical Contractor,Gravenhurst,ON
Kaya Power Inc,kayapower.com,abuse@nicproxy.com,Nics Telekomunikasyon A.S.,0.235,tier3,Electrical Contractor,London,ON
Root3 Engineering Ltd,root3engineering.com,abuse@namecheap.com,"NameCheap, Inc.",0.154,tier3,Electrical Contractor,Toronto,ON
Bronco Electric,bronco-electric.com,abuse@support.gandi.net,Gandi SAS,0.167,tier3,Electrical Contractor,Strathroy,ON
Ronco Electric Ltd,roncoelectric.com,support@namebright.com,DropCatch.com 1255 LLC,0.323,tier3,Electrical Contractor,Simcoe,ON
Culp Electric Ltd,culpelectric.com,abuse@bluehost.com,Bluehost Inc.,0.286,tier3,Electrical Contractor,Smithville,ON
Image Electric Inc,image-electric.com,abuse@ionos.com,IONOS SE,0.182,tier3,Electrical Contractor,Toronto,ON
Strak Holdings Inc,strak.com,abuse@key-systems.net,Key-Systems GmbH,0.19,tier3,Electrical Contractor,Mississauga,ON
Jac Electrical,jac-electrical.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.167,tier3,Electrical Contractor,Amherstburg,ON
Shaw Electrical Solutions Ltd,shaw-electrical.com,abuse@123-reg.co.uk,123-Reg Limited,0.091,tier3,Electrical Contractor,Palmerston,ON
TR Electric Inc,tr-electric.com,compliance_abuse@webnic.cc,Web Commerce Communications Limited dba WebNic.cc,0.213,tier3,Electrical Contractor,St Catharines,ON
Beacon Electric Inc,beaconelectric.com,abusecomplaints@markmonitor.com,MarkMonitor Inc.,0.385,tier3,Electrical Contractor,Camlachie,ON
Titan Electric,titanelectric.com,abuse@dynadot.com,Dynadot Inc,0.095,tier3,Electrical Contractor,Redbridge,ON
Rg Electric,rg-electric.com,DomainAbuse@service.aliyun.com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",0.19,tier3,Electrical Contractor,Whitby,ON
Dragon Electric Inc,dragon-electric.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.188,tier3,Electrical Contractor,Ancaster,ON
Electrical Installation,electrical-installation.com,abuse@nameshield.net,Nameshield SAS,0.216,tier3,Electrical Contractor,Hamilton,ON
Milan's Contracting Services Inc,milans.com,abuse-contact@sav.com,"Sav.com, LLC",0.167,tier3,Electrical Contractor,East Gwillbury,ON
I.D. Electric Inc,id-electric.com,domain-abuse@wix.com,Wix.com Ltd.,0.235,tier3,Electrical Contractor,Fergus,ON
