company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Custom Gen Inc.,customgen.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.278,tier3,Electrical Contractor,Wasaga Beach,ON
Axiom Electrical Services Inc,axiom-electrical.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.263,tier3,Electrical Contractor,Ajax,ON
Pace Power Inc.,pacepower.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.3,tier3,Electrical Contractor,Waterdown,ON
CTE Electric,cteelectric.com,compliance_abuse@webnic.cc,Web Commerce Communications Limited dba WebNic.cc,0.25,tier3,Electrical Contractor,Seeleys Bay,ON
Dale Electric,dale-electric.com,domain.operations@web.com,"Network Solutions, LLC",0.3,tier3,Electrical Contractor,Chatham,ON
Evolute Inc,evolute.com,abuse@corehub.net,"COREhub, S.R.L.",0.222,tier3,Electrical Contractor,Toronto,ON
Involta Electric Ltd,involtaelectric.com,abuse@porkbun.com,Porkbun LLC,0.087,tier3,Electrical Contractor,Woodbridge,ON
Meyer Electric,meyer-electric.com,abuse@enom.com,"eNom, LLC",0.111,tier3,Electrical Contractor,Ilderton,ON
Classic Electric Ltd,classicelectric.com,abuse@uniregistry.com,GoDaddy Online Services Cayman Islands Ltd.,0.178,tier3,Electrical Contractor,Windsor,ON
Dueck Electric Ltd,dueckelectric.com,abuse@namecheap.com,"NameCheap, Inc.",0.261,tier3,Electrical Contractor,Princeton,ON
Decast Ltd,decast.com,tld-abuse@nic.ru,"Regional Network Information Center, JSC dba RU-CENTER",0.145,tier3,Electrical Contractor,Utopia,ON
Sebco Electric Ltd.,sebcoelectric.com,domain-abuse@wix.com,Wix.com Ltd.,0.2,tier3,Electrical Contractor,London,ON
CN Power Electric Inc.,cnpowerelectric.com,supervision@xinnet.com,Xin Net Technology Corporation,0.343,tier3,Electrical Contractor,Markham,ON
Auraflow Lighting Inc.,auraflowlighting.com,regcompliance@whc.ca,WHC Online Solutions Inc.,0.296,tier3,Electrical Contractor,North York,ON
Infinity Generation Services Inc.,infinitygeneration.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.138,tier3,Electrical Contractor,Port Perry,ON
Sparky Mark Inc.,sparkymark.com,abuse@domainbox.com,Mesh Digital Limited,0.174,tier3,Electrical Contractor,Hamilton,ON
Sunrise Electrical & Contracting (Services Inc),sunriseelectrical.com,abuse@bigrock.com,BigRock Solutions Ltd,0.16,tier3,Electrical Contractor,Brampton,ON
Graham'S,grahams.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.286,tier3,Electrical Contractor,Mcgregor,ON
Hit Electric Inc,hitelectric.com,abuse@spaceship.com,"Spaceship, Inc.",0.19,tier3,Electrical Contractor,North York,ON
Applied Electrical Services Inc,appliedelectrical.com,domainabuse@tucows.com,Tucows Domains Inc.,0.125,tier3,Electrical Contractor,Windsor,ON
Zurm Electrical Solutions Inc,zurmelectrical.com,rtr-security-threats@realtimeregister.com,Realtime Register B.V.,0.229,tier3,Electrical Contractor,East York,ON
Lights Out Electric Limited,lightsoutelectric.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.278,tier3,Electrical Contractor,Whitby,ON
Home Tech Secure Inc,hometechsecure.com,domainabuse@automattic.com,Automattic Inc.,0.308,tier3,Electrical Contractor,North York,ON
Phillips Electrical Solutions Inc,phillipselectrical.com,abuse@bluehost.com,Launchpad.com Inc.,0.129,tier3,Electrical Contractor,Burlington,ON
Energy Electrical Contracting Ltd,energy-electrical.com,abuse@dynadot.com,Dynadot Inc,0.167,tier3,Electrical Contractor,Uxbridge,ON
S. Electric,s-electric.com,abuse@unstoppabledomains.com,Unstoppable Domains Inc.,0.276,tier3,Electrical Contractor,Mildmay,ON
Mf Electrical Inc,mf-electrical.com,abuse@ionos.com,IONOS SE,0.19,tier3,Electrical Contractor,Thornhill,ON
Current Pro,currentpro.com,abuse@namesilo.com,"NameSilo, LLC",0.211,tier3,Electrical Contractor,Strathroy,ON
Km Electrical,km-electrical.com,abuse@123-reg.co.uk,123-Reg Limited,0.1,tier3,Electrical Contractor,Burlington,ON
Infiniti Solutions Contracting Ltd,infiniti.com,abusecomplaints@markmonitor.com,MarkMonitor Inc.,0.316,tier3,Electrical Contractor,Scarborough,ON
