company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Barrington Electric Ltd.,barringtonelectric.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.138,tier3,Electrical Contractor,Scarborough,ON
Dry Master Toronto Inc.,drymastertoronto.com,complaint@gname.com,Gname.com Pte. Ltd.,0.2,tier3,Electrical Contractor,Etobicoke,ON
Luma Electric Ltd.,luma-electric.com,domain-abuse@wix.com,Wix.com Ltd.,0.105,tier3,Electrical Contractor,Brampton,ON
Northern Electric,northernelectric.com,domain.operations@web.com,"Network Solutions, LLC",0.25,tier3,Electrical Contractor,Moonbeam,ON
Harson Electrical Services Inc.,harsonelectrical.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.359,tier3,Electrical Contractor,Hamilton,ON
Butler Electric,butlerelectric.com,abuse@enom.com,"eNom, LLC",0.105,tier3,Electrical Contractor,Angus,ON
Limitless Electrical Solutions Inc.,limitless-electrical.com,abuse@namecheap.com,"NameCheap, Inc.",0.276,tier3,Electrical Contractor,Powassan,ON
Enhance Electrical Services,enhance-electrical.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.114,tier3,Electrical Contractor,Orangeville,ON
Shockproof Electric,shockproofelectric.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.207,tier3,Electrical Contractor,Hearst,ON
Spot-On Electrical,spot-onelectrical.com,abuse@melbourneit.com.au,Netregistry Wholesale Pty Ltd,0.279,tier3,Electrical Contractor,Ottawa,ON
Cj West Contracting,cjwest.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.242,tier3,Electrical Contractor,Keswick,ON
DS Electric Inc,dselectric.com,abuse@dynadot.com,Dynadot Inc,0.222,tier3,Electrical Contractor,Stoney Creek,ON
Sutherland Power,sutherlandpower.com,abuse@register.ca,Register.ca Inc.,0.385,tier3,Electrical Contractor,Irondale,ON
Vor-Tech Services Inc,vor-tech.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.188,tier3,Electrical Contractor,Grimsby,ON
Dem Corp. Electrical Services,demelectrical.com,abuse@easyspace.com,Easyspace Limited,0.174,tier3,Electrical Contractor,Hamilton,ON
Beck Electrical Contracting Ltd.,beckelectrical.com,domain-abuse@internetx.com,InterNetX GmbH,0.069,tier3,Electrical Contractor,Carp,ON
Tunks & Kosi Electric Ltd,tunkskosielectric.com,domainabuse@automattic.com,Automattic Inc.,0.345,tier3,Electrical Contractor,Strathroy,ON
Premier Electrical Contractors Inc.,premierelectricalcontractors.com,abuse@namesilo.com,"NameSilo, LLC",0.211,tier3,Electrical Contractor,Limehouse,ON
Florio Electric,florioelectric.com,abuse@easydns.com,easyDNS Technologies Inc.,0.229,tier3,Electrical Contractor,Sunderland,ON
Only Electric,onlyelectric.com,domainadmin@alpinedomains.com,Alpine Domains Inc.,0.148,tier3,Electrical Contractor,Sudbury,ON
Sun Shine Electrical Inc.,sunshineelectrical.com,abuse@unstoppabledomains.com,Unstoppable Domains Inc.,0.256,tier3,Electrical Contractor,Tecumseh,ON
Stroma Service Consulting Inc,stroma.com,abuse@support.gandi.net,Gandi SAS,0.267,tier3,Electrical Contractor,North Bay,ON
IVR Electrical,ivrelectrical.com,abuse@123-reg.co.uk,123-Reg Limited,0.19,tier3,Electrical Contractor,North York,ON
Cooper Electric,cooperelectric.com,abuse@name.com,"Name.com, Inc.",0.182,tier3,Electrical Contractor,Port Hope,ON
