company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Dbr Electric Ltd.,dbrelectric.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.176,tier3,Electrical Contractor,North Gower,ON
Rytech Services Inc.,rytech.com,domain.operations@web.com,"Network Solutions, LLC",0.154,tier3,Electrical Contractor,Markham,ON
New Standard Electrical (Contracting Ltd.),newstandardelectrical.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.242,tier3,Electrical Contractor,Niagara Falls,ON
Rally Electric Inc.,rallyelectric.com,domainabuse@tucows.com,Tucows Domains Inc.,0.143,tier3,Electrical Contractor,Huntsville,ON
Limitless Electrical Contracting,limitless-electrical.com,abuse@namecheap.com,"NameCheap, Inc.",0.276,tier3,Electrical Contractor,Ajax,ON
G1 Electrical Services Inc.,g1electrical.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.267,tier3,Electrical Contractor,Brampton,ON
Cangrid Services Inc.,cangrid.com,support@namebright.com,DropCatch.com 385 LLC,0.174,tier3,Electrical Contractor,Ottawa,ON
Vision Power Services,visionpower.com,abuse@hosting.kr,"Megazone Corp., dba HOSTING.KR",0.333,tier3,Electrical Contractor,Pain Court,ON
G.P. Electrical,gp-electrical.com,abuse@123-reg.co.uk,123-Reg Limited,0.1,tier3,Electrical Contractor,Mississauga,ON
London Power Corporation Inc,london-power.com,abuse@comlaude.com,Nom-iq Ltd. dba COM LAUDE,0.214,tier3,Electrical Contractor,London,ON
Stewart Electric,stewart-electric.com,abuse@ionos.com,IONOS SE,0.167,tier3,Electrical Contractor,Wyoming,ON
Remka Electric,remkaelectric.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.211,tier3,Electrical Contractor,Vankleek Hill,ON
Diamond Power Group Ltd.,diamondpower.com,abuse@corehub.net,"COREhub, S.R.L.",0.25,tier3,Electrical Contractor,Lanark,ON
Fowler Construction Company Limited,fowlerconstruction.com,abuse@dynadot.com,Dynadot Inc,0.154,tier3,Electrical Contractor,Bracebridge,ON
Rank Inc,rank.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.24,tier3,Electrical Contractor,Vaughan,ON
Cdk Solar Solutions Inc.,cdksolar.com,abuse@rebel.com,Rebel Ltd,0.143,tier3,Electrical Contractor,Kingston,ON
Power On Electrical Services,poweronelectrical.com,abuse@namesilo.com,"NameSilo, LLC",0.074,tier3,Electrical Contractor,Hamilton,ON
Local Electric,localelectric.com,abuse@enom.com,"eNom, LLC",0.111,tier3,Electrical Contractor,London,ON
Lakeshore Electrical Services Inc.,lakeshoreelectrical.com,abuse@domainpeople.com,"DomainPeople, Inc.",0.312,tier3,Electrical Contractor,Belle River,ON
Mellon Inc,mellon.com,abusecomplaints@markmonitor.com,MarkMonitor Inc.,0.353,tier3,Electrical Contractor,Sarnia,ON
Fed Electrical,fedelectrical.com,abuse@namesrs.com,Name SRS AB,0.32,tier3,Electrical Contractor,Oshawa,ON
The Maule Group Inc,themaule.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.105,tier3,Electrical Contractor,Coldwater,ON
Weber Electric Inc.,weber-electric.com,abuse@ovh.net,OVH sas,0.095,tier3,Electrical Contractor,North York,ON
J & L Electrical Solutions Ltd.,jlelectrical.com,abuse@unstoppabledomains.com,Unstoppable Domains Inc.,0.182,tier3,Electrical Contractor,Elora,ON
