company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Lebold Electric Inc,leboldelectric.com,domain.operations@web.com,"Domain.com - Network Solutions, LLC",0.176,tier3,Electrical Contractor,Wellesley,ON
Volta Electric,volta-electric.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.25,tier3,Electrical Contractor,Newmarket,ON
Bud'S Power Solutions,budspower.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.222,tier3,Electrical Contractor,Beachburg,ON
Lucas Electric,lucaselectric.com,abuse@inames.co.kr,"Inames Co., Ltd.",0.2,tier3,Electrical Contractor,Millbrook,ON
Sim Electrical Contracting,simelectrical.com,domain-abuse@wix.com,Wix.com Ltd.,0.2,tier3,Electrical Contractor,Bowmanville,ON
Simply Smart Solutions Inc,simplysmart.com,abuse@comlaude.com,Nom-iq Ltd. dba COM LAUDE,0.286,tier3,Electrical Contractor,Concord,ON
Greencore Services Inc,greencore.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.211,tier3,Electrical Contractor,Innisfil,ON
Mendes Electric,mendeselectric.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.205,tier3,Electrical Contractor,Hamilton,ON
Ree Electric Ltd,ree-electric.com,supervision@xinnet.com,Xin Net Technology Corporation,0.267,tier3,Electrical Contractor,Brampton,ON
Jl Electric Inc,jlelectric.com,abuse@ionos.com,IONOS SE,0.211,tier3,Electrical Contractor,Midland,ON
Refined Electric Inc,refined-electric.com,domainabuse@tucows.com,Tucows Domains Inc.,0.133,tier3,Electrical Contractor,Hamilton,ON
Northern Sun Solar Group Inc,northernsunsolar.com,abuse-complaints@squarespace.com,Squarespace Domains LLC,0.216,tier3,Electrical Contractor,Murillo,ON
Geebo Electric Inc,geeboelectric.com,domain-abuse@dreamhost.com,"DreamHost, LLC",0.261,tier3,Electrical Contractor,Scarborough,ON
Grounded Electrical,groundedelectrical.com,registry-abuse@nexigen.digital,Synergy Wholesale Accreditations Pty Ltd,0.218,tier3,Electrical Contractor,North Bay,ON
BB & H Solutions Inc,bb-h.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.095,tier3,Electrical Contractor,Aurora,ON
Star Service Electrical (Contracting Inc),starelectrical.com,abuse@dynadot.com,Dynadot Inc,0.091,tier3,Electrical Contractor,Mississauga,ON
Mckenna Electrical Services Inc,mckennaelectrical.com,abuse@namecheap.com,"NameCheap, Inc.",0.37,tier3,Electrical Contractor,Toronto,ON
Guide Electric Ltd,guide-electric.com,domainabuse@35.cn,"Xiamen 35.com Information Co., Ltd.",0.316,tier3,Electrical Contractor,Etobicoke,ON
K5 Electric Inc,k5electric.com,abuse@promopeople.com,"Promo People, Inc.",0.348,tier3,Electrical Contractor,St Thomas,ON
Bp Electrical,bpelectrical.com,domainadmin@alpinedomains.com,Alpine Domains Inc.,0.148,tier3,Electrical Contractor,Sudbury,ON
Ch Electric Inc.,ch-electric.com,domain@oray.com,"Shanghai Best Oray Information S&T Co., Ltd.",0.273,tier3,Electrical Contractor,Avonmore,ON
Motor City Controls Corp,motorcitycontrols.com,abuse@enom.com,"eNom, LLC",0.087,tier3,Electrical Contractor,Hamilton,ON
Raj Electricals,rajelectricals.com,abuse@web.com,"Streamline Domains, LLC",0.303,tier3,Electrical Contractor,Kitchener,ON
Evadam Inc,evadam.com,abuse@registrar.eu,Hosting Concepts B.V. d/b/a Registrar.eu,0.195,tier3,Electrical Contractor,Richmond Hill,ON
Electroman,electroman.com,misuse@atom.com,Atom.com Domains LLC,0.4,tier3,Electrical Contractor,Stratford,ON
Dekeyser Electrical,dekeyserelectrical.com,trustandsafety@support.aws.com,"Amazon Registrar, Inc.",0.286,tier3,Electrical Contractor,Elora,ON
Mgd Electric Ltd.,mgdelectric.com,abuse@namejuice.com,"BRANDON GRAY INTERNET SERVICES INC. (dba ""NameJuice.com"")",0.174,tier3,Electrical Contractor,Blezard Valley,ON
Driedger Electric Ltd,driedgerelectric.com,regcompliance@whc.ca,WHC Online Solutions Inc.,0.148,tier3,Electrical Contractor,Port Rowan,ON
York Pro Contracting Group Inc,york-pro.com,abuse@bluehost.com,Launchpad.com Inc.,0.1,tier3,Electrical Contractor,Toronto,ON
Ntn Electric,ntn-electric.com,registrar@inet.vn,iNET SOFTWARE COMPANY LIMITED,0.32,tier3,Electrical Contractor,Oro-Medonte,ON
Tempo Electric Inc,tempoelectric.com,abuse@pairdomains.com,"pair Networks, Inc. d/b/a pair Domains",0.136,tier3,Electrical Contractor,Ancaster,ON
1 T Contracting,1-t.com,abuse@uniregistry.com,GoDaddy Online Services Cayman Islands Ltd.,0.062,tier3,Electrical Contractor,Zephyr,ON
Iec Group Inc,iec.com,abuse@pavietnam.vn,P.A. Viet Nam Company Limited,0.286,tier3,Electrical Contractor,Brantford,ON
