company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
All Circuits Electric Ltd.,allcircuitselectric.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.129,tier3,Electrical Contractors,Nanaimo,BC
All Is On Electric,allisonelectric.com,abuse@enom.com,"eNom, LLC",0.091,tier3,Electrical Contractors,Victoria,BC
All Valley Electrical Services,allvalleyelectrical.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.233,tier3,Electrical Contractors,Duncan,BC
Allied Controls Ltd,alliedcontrols.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.16,tier3,Electrical Engineer,Burnaby,BC
Amor Energy Corporation,amorenergy.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.162,tier3,Electrical Contractors,Burnaby,BC
Apaar Electrical Ltd.,apaarelectrical.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.3,tier3,Electrical Wiring,Surrey,BC
Apex Electrical Ltd,apexelectrical.com,abuse@ionos.com,IONOS SE,0.087,tier3,Electrical Contractors,Surrey,BC
Archway Construction Ltd.,archwayconstruction.com,domain.operations@web.com,Annulet LLC,0.222,tier3,Home Improvement,Burnaby,BC
Arcnet Electric Ltd,arcnet-electric.com,abuse@1api.net,1API GmbH,0.167,tier3,Electrical Contractors,Burnaby,BC
Armature Electric Ltd,armatureelectric.com,abuse@webnames.ca,Webnames.ca Inc.,0.222,tier3,Electric Motor Parts,Vancouver,BC
Axford Electrical,axfordelectrical.com,abuse@promopeople.com,"Promo People, Inc.",0.345,tier3,Electrical Contractors,Nanaimo,BC
Wms Enterprises Inc,wms.com,abuse@gcd.com,"GoDaddy Corporate Domains, LLC",0.143,tier3,Commercial Refrigeration,Surrey,BC
Willow Point Electric Ltd,willowpointelectric.com,abuse@rebel.com,Rebel Ltd,0.154,tier3,Electrician,Campbell River,BC
Western Integrated,westernintegrated.com,abuse-contact@publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,0.163,tier3,Electrical Engineer,Burnaby,BC
VoltSafe Inc.,voltsafe.com,abuse@namecheap.com,"NameCheap, Inc.",0.235,tier3,Electrical,Vancouver,BC
Victory Electric LTD,victory-electric.com,domainabuse@automattic.com,Automattic Inc.,0.154,tier3,Electrical Contractors,Langford,BC
Valkyrie Electric,valkyrieelectric.com,abuse@bluehost.com,Launchpad.com Inc.,0.207,tier3,Electrical Contractors,Victoria,BC
VIR Electric Inc,vir-electric.com,DomainAbuse@service.aliyun.com,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),0.25,tier3,Electric Motor Manufacturers,Richmond,BC
Tops Lighting,tops-lighting.com,domainabuse@tucows.com,Tucows Domains Inc.,0.444,tier3,Sign Erectors,Vancouver,BC
Thor Electric,thor-electric.com,abuse@http.net,HTTP.NET INTERNET GMBH,0.118,tier3,Electrical Contractors,Ucluelet,BC
Thomson Technology Inc,thomsontechnology.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.205,tier3,Electrical Power System Backup Systems,Langley,BC
The Marine Service Network,themarinenetwork.com,verisign@virtuadrug.com,Domain Science Kutatasi Szolgaltato Korlatolt Felelossegu Tarsasag,0.095,tier3,Marine Electrical,Delta,BC
EECOL Electric Corp.,eecolelectric.com,abuse@above.com,Above.com Pty Ltd.,0.385,tier3,Wholesale Electric Supplies,Victoria,BC
Oceanvolt Electrical Inc.,oceanvoltelectrical.com,abuse@registrygate.com,RegistryGate GmbH,0.216,tier3,Solar Energy Contractors,Victoria,BC
Electro Fix Victoria,electrofixvictoria.com,domain-abuse@wix.com,Wix.com Ltd.,0.308,tier3,Electrical Contractors,Victoria,BC
C.R. Harris Electric,crharriselectric.com,abuse@easydns.com,easyDNS Technologies Inc.,0.316,tier3,Electrical Contractors,Victoria,BC
Island Technical Installations Ltd.,islandtechnicalinstallations.com,abuse@register.ca,Register.ca Inc.,0.3,tier3,Electrical Contractors,Saanichton,BC
Loyal Electric,loyalelectric.com,regcompliance@whc.ca,WHC Online Solutions Inc.,0.167,tier3,Electrical Contractors,Victoria,BC
G Electric,g-electric.com,abuse@world4you.com,World4You Internet Services GmbH,0.061,tier3,Electrical Contractors,Duncan,BC
AC Motor Electric Ltd.,acmotorelectric.com,abuse@domainpeople.com,"DomainPeople, Inc.",0.276,tier3,Electric Motor Repair,Penticton,BC
Vantage Electrical Contracting,vantageelectrical.com,abuse@unstoppabledomains.com,Unstoppable Domains Inc.,0.216,tier3,Electrical,Kelowna,BC
Scotts Contracting Ltd.,scotts.com,abusecomplaints@markmonitor.com,MarkMonitor Inc.,0.235,tier3,Home Improvement,Kelowna,BC
Ambul Systems Ltd.,ambulsystems.com,abuse@name.com,"Name.com, Inc.",0.4,tier3,Electrical Contractors,Kelowna,BC
Stoor Enterprises Inc,stoor.com,abuse@hosting.kr,"Megazone Corp., dba HOSTING.KR",0.261,tier3,Electrical Contractors,Kelowna,BC
