company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Meeco Technologies Inc.,meecotechnologies.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.143,tier3,Electrical Contractor,Richmond Hill,ON
Power Group Electrical (Services Inc.),powerelectrical.com,abuse@uniregistry.com,GoDaddy Online Services Cayman Islands Ltd.,0.267,tier3,Electrical Contractor,North York,ON
Mallett Electric Ltd,mallettelectric.com,domain.operations@web.com,"Network Solutions, LLC",0.261,tier3,Electrical Contractor,London,ON
Howe Electric Ltd.,howeelectric.com,domainabuse@tucows.com,Tucows Domains Inc.,0.296,tier3,Electrical Contractor,Melbourne,ON
Gateway Electrical Solutions Inc.,gateway-electrical.com,abuse-complaints@squarespace.com,Squarespace Domains LLC,0.27,tier3,Electrical Contractor,North Bay,ON
Jensen Electric Inc.,jensenelectric.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.293,tier3,Electrical Contractor,Barrie,ON
Xolar Inc.,xolar.com,abuse@above.com,Above.com Pty Ltd.,0.118,tier3,Electrical Contractor,Campbellford,ON
Hybrid Electrical Solutions,hybridelectrical.com,abuse@enom.com,"eNom, LLC",0.095,tier3,Electrical Contractor,Toronto,ON
Nelder Contracting,nelder.com,abuse@register.it,Register SPA,0.333,tier3,Electrical Contractor,New Hamburg,ON
Southpoint Automation Inc,southpointautomation.com,abuse@promopeople.com,"Promo People, Inc.",0.242,tier3,Electrical Contractor,Leamington,ON
All In One Contractors Inc.,all-in-one-contractors.com,abuse@namesrs.com,Name SRS AB,0.303,tier3,Electrical Contractor,Alliston,ON
Roadrunner Electric Ltd,roadrunnerelectric.com,abuse@moniker.com,Moniker Online Services LLC,0.364,tier3,Electrical Contractor,Oshawa,ON
Georgian Bay Homes And Renovations,georgianbayhomesandrenovations.com,abuse@directnic.com,"DNC Holdings, Inc.",0.054,tier3,Electrical Contractor,Midland,ON
Dsd Electric Ltd,dsdelectric.com,abuse@namecheap.com,"NameCheap, Inc.",0.19,tier3,Electrical Contractor,Newmarket,ON
Steady Electric Inc.,steadyelectric.com,abuse@unstoppabledomains.com,Unstoppable Domains Inc.,0.353,tier3,Electrical Contractor,Toronto,ON
A.G. Electrical Contracting Inc.,agelectrical.com,abuse@namesilo.com,"NameSilo, LLC",0.286,tier3,Electrical Contractor,North York,ON
Capital Electrical Solutions Inc.,capital-electrical.com,domain-abuse@wix.com,Wix.com Ltd.,0.083,tier3,Electrical Contractor,Rockland,ON
Rick Electrical Inc.,rickelectrical.com,abuse@key-systems.net,Key-Systems GmbH,0.129,tier3,Electrical Contractor,Brampton,ON
Platinum Power,platinumpower.com,trustandsafety@support.aws.com,"Amazon Registrar, Inc.",0.2,tier3,Electrical Contractor,Amherstburg,ON
Njp Electrical Services,njpelectrical.com,complaint@gname.com,Gname.com Pte. Ltd.,0.308,tier3,Electrical Contractor,Markham,ON
Citylite Group Inc.,citylite.com,abuse@123-reg.co.uk,123-Reg Limited,0.133,tier3,Electrical Contractor,Scarborough,ON
Grounded Electrical Co,groundedelectrical.com,registry-abuse@nexigen.digital,Synergy Wholesale Accreditations Pty Ltd,0.218,tier3,Electrical Contractor,Buckhorn,ON
Charge N Drive Inc.,charge-n-drive.com,en.complaint@cps-datensysteme.de,CPS-Datensysteme GmbH,0.229,tier3,Electrical Contractor,Mississauga,ON
Ignite Electrical Services,igniteelectrical.com,abuse@dreamscapenetworks.com,Dreamscape Networks International Pte Ltd,0.296,tier3,Electrical Contractor,Mount Forest,ON
Ecogrid Energy Inc.,ecogrid-energy.com,abuse@registrar.eu,Hosting Concepts B.V. d/b/a Registrar.eu,0.204,tier3,Electrical Contractor,Guelph,ON
H&I Dynamic Contracting Inc.,hidynamic.com,abuse@ename.com,"eName Technology Co., Ltd.",0.308,tier3,Electrical Contractor,Mississauga,ON
Padi Electric Inc,padi-electric.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.216,tier3,Electrical Contractor,Aurora,ON
First Call Electrical,firstcallelectrical.com,abuse@web.com,Domainraker.net LLC,0.171,tier3,Electrical Contractor,Mississauga,ON
Electromec Service Ltd,electromec.com,abuse@dynadot.com,Dynadot Inc,0.118,tier3,Electrical Contractor,Markham,ON
Pro Plus,proplus.com,abuse@bluehost.com,Bluehost Inc.,0.375,tier3,Electrical Contractor,Verner,ON
Hl Electric Ltd,hl-electric.com,DomainAbuse@service.aliyun.com,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),0.109,tier3,Electrical Contractor,Toronto,ON
Berman Electric Inc.,bermanelectric.com,tld-abuse@hostopia.com,Hostopia Canada Corp,0.133,tier3,Electrical Contractor,Campden,ON
