company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
CNA Electric Ltd.,cna-electric.com,domain-abuse@wix.com,Wix.com Ltd.,0.111,tier3,Electrical Contractors,Nanaimo,BC
Callaghan Heating Ltd.,callaghanheating.com,domain.operations@web.com,"Network Solutions, LLC",0.25,tier3,Heating and Air Conditioning,Maple Ridge,BC
Canadian Aerothermal,canadianaerothermal.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.267,tier3,Heating Contractors,Penticton,BC
Central Commercial & Residential Services Ltd.,centralcommercialresidential.com,abuse@bluehost.com,Bluehost Inc.,0.105,tier3,Heating and Air Conditioning,Burnaby,BC
Centurion Contracting Ltd.,centurion.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.2,tier3,General Contractor,Port Coquitlam,BC
Clarke Heating and Cooling,clarkeheatingandcooling.com,abuse@namecheap.com,"NameCheap, Inc.",0.229,tier3,Heating and Air Conditioning,Victoria,BC
Watt HVAC,watthvac.com,abuse@1api.net,1API GmbH,0.333,tier3,Air Conditioning Repair,Vancouver,BC
Waters Edge Construction Ltd.,watersedgeconstruction.com,abuse@enom.com,"eNom, LLC",0.143,tier3,General Contractor,Victoria,BC
Venturo HVAC Inc.,venturohvac.com,abuse@spaceship.com,"Spaceship, Inc.",0.19,tier3,Heating Contractors,Surrey,BC
Vanheat Services,vanheat.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.182,tier3,Heating and Air Conditioning,North Vancouver,BC
Trust Heating & Cooling Ltd.,trustheatingcooling.com,domainabuse@tucows.com,Tucows Domains Inc.,0.4,tier3,Heating and Air Conditioning,Coquitlam,BC
True Air Systems Ltd,trueairsystems.com,registry-abuse@nexigen.digital,Synergy Wholesale Accreditations Pty Ltd,0.269,tier3,Heating and Air Conditioning,Coquitlam,BC
Trifecta Temperature Control Ltd.,trifectatemperaturecontrol.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.24,tier3,Heating and Air Conditioning,Victoria,BC
Tower HVAC Solutions,towerhvac.com,abuse@unstoppabledomains.com,Unstoppable Domains Inc.,0.345,tier3,Heating and Air Conditioning,Vancouver,BC
Total Renovations,total-renovations.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.296,tier3,Home Improvement,Surrey,BC
Total Home Services,totalhome.com,abuse-contact@publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,0.244,tier3,Building Restoration,Coquitlam,BC
Tjikko Restoration & Services Ltd.,tjikkorestoration.com,verisign@virtuadrug.com,Domain Science Kutatasi Szolgaltato Korlatolt Felelossegu Tarsasag,0.214,tier3,Fire and Water Damage Restoration,Surrey,BC
Spears Sales & Service Ltd.,spearssales.com,abuse@namejuice.com,"BRANDON GRAY INTERNET SERVICES INC. (dba ""NameJuice.com"")",0.13,tier3,Pump Service,Burnaby,BC
Silex Canada,silexcanada.com,abuse@easydns.com,easyDNS Technologies Inc.,0.188,tier3,General Contractor,North Vancouver,BC
Seguin Morris,seguinmorris.com,abuse@rebel.com,Rebel Ltd,0.111,tier3,Heating and Air Conditioning,Port Coquitlam,BC
Satrap HVAC Services Inc,satrap-hvac.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.229,tier3,Commercial Air Conditioning Contractors,North Vancouver,BC
Samson Homes,samson-homes.com,abuse@enartiasecurity.net,Enartia Single Member S.A.,0.111,tier3,Home Renovation,North Vancouver,BC
Rocky Cross Construction Ltd.,rockycrossconstruction.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.146,tier3,Fire and Water Damage Restoration,Victoria,BC
Rob's Heating,robsheating.com,abuse@dynadot.com,Dynadot Inc,0.211,tier3,Heating and Air Conditioning,Vancouver,BC
Rivercity Enterprises,rivercity.com,abuse@gcd.com,"GoDaddy Corporate Domains, LLC",0.118,tier3,Plumber,Maple Ridge,BC
Ridgeline Mechanical Ltd,ridgelinemechanical.com,regcompliance@whc.ca,WHC Online Solutions Inc.,0.267,tier3,Mechanical Contractors,Courtenay,BC
General Heating Ltd.,general-heating.com,abuse@ait.com,"Advanced Internet Technologies, Inc. (AIT)",0.204,tier3,Heating and Air Conditioning,Vancouver,BC
